Setting logging level to INFO
2025-07-27 14:25:59.216+07:00 | main | INFO  | Besu | Starting Besu
2025-07-27 14:26:00.563+07:00 | main | WARN  | Besu | PoW consensus is deprecated. See CHANGELOG for alternative options.
2025-07-27 14:26:01.336+07:00 | main | INFO  | Besu | Connecting to 0 static nodes.
2025-07-27 14:26:01.385+07:00 | main | WARN  | Besu | Forcing tx-pool-min-gas-price=10, since it cannot be greater than the value of min-gas-price
2025-07-27 14:26:02.041+07:00 | main | INFO  | Besu | 
####################################################################################################
#                                                                                                  #
# Besu version 25.7.0                                                                              #
#                                                                                                  #
# Configuration:                                                                                   #
# Network: Custom genesis file                                                                     #
# /home/ganendra/besu-25.4.0-qbft-ondemandd (Copy)/qbftnetwork/node0/../genesi                     #
# s.json                                                                                           #
# Network Id: 1337                                                                                 #
# Data storage: Bonsai                                                                             #
# Sync mode: Snap                                                                                  #
# Sync min peers: 1                                                                                #
# RPC HTTP APIs: ETH,NET,QBFT,ADMIN,DEBUG                                                          #
# RPC HTTP port: 8545                                                                              #
# Using LAYERED transaction pool implementation                                                    #
# Using STACKED worldstate update mode                                                             #
# Limit trie logs enabled: retention: 512; prune window: 5000                                      #
#                                                                                                  #
# Host:                                                                                            #
# Java: openjdk-java-21                                                                            #
# Maximum heap size: 2,73 GB                                                                       #
# OS: linux-x86_64                                                                                 #
# glibc: 2.41                                                                                      #
# jemalloc: 5.3.0-0-g54eaed1d8b56b1aa528be3bdd1877e59c56fa90c                                      #
# Total memory: 10,93 GB                                                                           #
# CPU cores: 4                                                                                     #
#                                                                                                  #
# Plugin Registration Summary:                                                                     #
# No plugins have been registered.                                                                 #
# TOTAL = 0 of 0 plugins successfully registered.                                                  #
#                                                                                                  #
####################################################################################################
2025-07-27 14:26:02.042+07:00 | main | INFO  | Besu | Security Module: localfile
2025-07-27 14:26:02.056+07:00 | main | INFO  | VersionMetadata | Lookup version metadata file in data directory: /home/ganendra/besu-25.4.0-qbft-ondemandd (Copy)/qbftnetwork/node0/data
2025-07-27 14:26:02.320+07:00 | main | INFO  | VersionMetadata | Existing version data detected. Besu version 25.4.0
2025-07-27 14:26:02.335+07:00 | main | INFO  | VersionMetadata | Besu version 25.7.0 is higher than version 25.4.0 that last started. Updating version metadata.
2025-07-27 14:26:02.607+07:00 | main | INFO  | Besu | Using the native implementation of alt bn128
2025-07-27 14:26:02.612+07:00 | main | INFO  | Besu | Using the Java implementation of modexp
2025-07-27 14:26:02.612+07:00 | main | INFO  | Besu | Using the native implementation of the signature algorithm
2025-07-27 14:26:02.639+07:00 | main | INFO  | Besu | Using the native implementation of the blake2bf algorithm
2025-07-27 14:26:03.283+07:00 | main | WARN  | Besu | Forcing tx-pool-min-gas-price=10, since it cannot be greater than the value of min-gas-price
2025-07-27 14:26:03.299+07:00 | main | INFO  | KeyPairUtil | Attempting to load public key from /home/ganendra/besu-25.4.0-qbft-ondemandd (Copy)/qbftnetwork/node0/data/key
2025-07-27 14:26:03.413+07:00 | main | INFO  | KeyPairUtil | Loaded public key 0x4276719bf36ef44587a2a3338ff04f2db6ebd1b58006340a0f2a0edc3f6dde9b0dc7a2348b68020672e0db76e31f5053c4217053d9965fe5934c216f09e1f0a9 from /home/ganendra/besu-25.4.0-qbft-ondemandd (Copy)/qbftnetwork/node0/data/key
2025-07-27 14:26:04.505+07:00 | main | INFO  | ProtocolScheduleBuilder | Protocol schedule created with milestones: [Berlin:0]
